Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
FORETT AT BUKIT TIMAH,"1,048,000",473.62,"2,213",03 Oct 2021,34A TOH TUCK ROAD #07-35,New Sale,Strata,44,"23,818",-,Apartment,1,Freehold,Uncompleted,N.A,596112,21,59,Central Region,Bukit Timah
FORETT AT BUKIT TIMAH,"2,184,000","1,033.34","2,114",03 Oct 2021,36B TOH TUCK ROAD #03-69,New Sale,Strata,96,"22,750",-,Apartment,1,Freehold,Uncompleted,N.A,596115,21,59,Central Region,Bukit Timah
PHOENIX RESIDENCES,"865,930",581.26,"1,490",03 Oct 2021,81 PHOENIX AVENUE #03-04,New Sale,Strata,54,"16,036",-,Apartment,1,99 yrs from 05/11/2019,Uncompleted,N.A,668383,23,66,West Region,Bukit Batok
CLAVON,"2,336,000","1,356.26","1,722",03 Oct 2021,6 CLEMENTI AVENUE 1 #33-04,New Sale,Strata,126,"18,540",-,Apartment,1,99 yrs from 07/10/2019,Uncompleted,N.A,129963,05,12,West Region,Clementi
IRWELL HILL RESIDENCES,"1,645,000",613.55,"2,681",03 Oct 2021,2 IRWELL HILL #18-03,New Sale,Strata,57,"28,860",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,N.A,239588,09,23,Central Region,River Valley
PARC GREENWICH,"1,566,000","1,205.57","1,299",03 Oct 2021,39 FERNVALE LANE #11-17,New Sale,Strata,112,"13,982",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
THE WATERGARDENS AT CANBERRA,"1,044,000",678.13,"1,540",03 Oct 2021,43 CANBERRA DRIVE #02-47,New Sale,Strata,63,"16,571",-,Apartment,1,99 yrs from 08/06/2020,Uncompleted,N.A,769323,27,76,North Region,Sembawang
THE WATERGARDENS AT CANBERRA,"1,591,000","1,108.69","1,435",03 Oct 2021,53 CANBERRA DRIVE #03-72,New Sale,Strata,103,"15,447",-,Apartment,1,99 yrs from 08/06/2020,Uncompleted,N.A,769328,27,76,North Region,Sembawang
DAIRY FARM RESIDENCES,"1,876,700","1,140.98","1,645",03 Oct 2021,6 DAIRY FARM LANE #14-02,New Sale,Strata,106,"17,705",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677623,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,676,500","1,011.82","1,657",03 Oct 2021,6 DAIRY FARM LANE #10-08,New Sale,Strata,94,"17,835",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677623,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,199,500",710.42,"1,688",03 Oct 2021,6 DAIRY FARM LANE #05-13,New Sale,Strata,66,"18,174",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677623,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,251,300",764.24,"1,637",03 Oct 2021,8 DAIRY FARM LANE #03-24,New Sale,Strata,71,"17,624",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
1919,"1,590,000",850.36,"1,870",04 Oct 2021,110 SOPHIA ROAD #01-03,Resale,Strata,79,"20,127",-,Apartment,1,Freehold,2015,HDB,228175,09,22,Central Region,Rochor
8 @ STRATTON,"2,858,000","5,112.9",559,04 Oct 2021,2B STRATTON GREEN,Resale,Strata,475,"6,017",-,Semi-Detached House,1,Freehold,2009,Private,805692,28,80,North East Region,Serangoon
