Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
HYLL ON HOLLAND,"2,754,000","1,054.87","2,611",10 Oct 2021,93 HOLLAND ROAD #08-15,New Sale,Strata,98,"28,102",-,Condominium,1,Freehold,Uncompleted,N.A,278537,10,27,Central Region,Bukit Timah
VERDALE,"1,327,700",731.95,"1,814",10 Oct 2021,16 DE SOUZA AVENUE #02-54,New Sale,Strata,68,"19,525",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,599464,21,59,Central Region,Bukit Timah
AVENUE SOUTH RESIDENCE,"1,815,000",721.19,"2,517",10 Oct 2021,11 SILAT AVENUE #49-30,New Sale,Strata,67,"27,090",-,Apartment,1,99 yrs from 14/08/2018,Uncompleted,N.A,168877,03,16,Central Region,Bukit Merah
MIDWOOD,"1,386,000",785.77,"1,764",10 Oct 2021,8 HILLVIEW RISE #27-07,New Sale,Strata,73,"18,986",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667971,23,66,West Region,Bukit Batok
DAIRY FARM RESIDENCES,"1,784,400","1,313.21","1,359",10 Oct 2021,8 DAIRY FARM LANE #01-15,New Sale,Strata,122,"14,626",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,652,600","1,011.82","1,633",10 Oct 2021,8 DAIRY FARM LANE #10-21,New Sale,Strata,94,"17,581",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,275,000",764.24,"1,668",10 Oct 2021,8 DAIRY FARM LANE #08-24,New Sale,Strata,71,"17,958",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
OLA,"1,006,000",925.7,"1,087",10 Oct 2021,76 ANCHORVALE CRESCENT #04-14,New Sale,Strata,86,"11,698",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544602,19,54,North East Region,Sengkang
FORETT AT BUKIT TIMAH,"1,060,000",473.62,"2,238",10 Oct 2021,34A TOH TUCK ROAD #08-35,New Sale,Strata,44,"24,091",-,Apartment,1,Freehold,Uncompleted,N.A,596112,21,59,Central Region,Bukit Timah
THE AVENIR,"2,397,000",828.83,"2,892",10 Oct 2021,8 RIVER VALLEY CLOSE #04-01,New Sale,Strata,77,"31,130",-,Condominium,1,Freehold,Uncompleted,N.A,238432,09,23,Central Region,River Valley
PHOENIX RESIDENCES,"1,291,898",861.12,"1,500",10 Oct 2021,85 PHOENIX AVENUE #03-12,New Sale,Strata,80,"16,149",-,Apartment,1,99 yrs from 05/11/2019,Uncompleted,N.A,668385,23,66,West Region,Bukit Batok
MIDTOWN MODERN,"2,742,300","1,065.64","2,573",10 Oct 2021,16 TAN QUEE LAN STREET #22-06,New Sale,Strata,99,"27,700",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188144,07,18,Central Region,Downtown Core
CLAVON,"2,530,730","1,582.31","1,599",10 Oct 2021,6 CLEMENTI AVENUE 1 #20-05,New Sale,Strata,147,"17,216",-,Apartment,1,99 yrs from 07/10/2019,Uncompleted,N.A,129963,05,12,West Region,Clementi
CLAVON,"2,242,000","1,280.92","1,750",10 Oct 2021,8 CLEMENTI AVENUE 1 #33-14,New Sale,Strata,119,"18,840",-,Apartment,1,99 yrs from 07/10/2019,Uncompleted,N.A,129964,05,12,West Region,Clementi
IRWELL HILL RESIDENCES,"1,840,000",667.37,"2,757",10 Oct 2021,2 IRWELL HILL #23-02,New Sale,Strata,62,"29,677",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,N.A,239588,09,23,Central Region,River Valley
IRWELL HILL RESIDENCES,"4,066,000","1,539.25","2,642",10 Oct 2021,2 IRWELL HILL #07-08,New Sale,Strata,143,"28,434",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,N.A,239588,09,23,Central Region,River Valley
PARC GREENWICH,"1,138,000",979.52,"1,162",10 Oct 2021,31 FERNVALE LANE #05-01,New Sale,Strata,91,"12,505",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
LATITUDE,"6,500,000","2,787.88","2,332",10 Oct 2021,33 JALAN MUTIARA #12-03,Resale,Strata,259,"25,097",-,Condominium,1,Freehold,2010,Private,249208,10,24,Central Region,Tanglin
ONE AMBER,"2,439,000","1,280.92","1,904",11 Oct 2021,9 AMBER GARDENS #22-26,Resale,Strata,119,"20,496",-,Condominium,1,Freehold,2010,HDB,439958,15,43,Central Region,Marine Parade
ECO,"738,000",581.26,"1,270",11 Oct 2021,283 BEDOK SOUTH AVENUE 3 #09-57,Resale,Strata,54,"13,667",-,Condominium,1,99 yrs from 14/05/2012,2017,HDB,465460,16,46,East Region,Bedok
E MAISON,"778,000",570.49,"1,364",11 Oct 2021,28 BRADDELL ROAD #02-02,Resale,Strata,53,"14,679",-,Apartment,1,Freehold,2016,Private,359966,13,35,North East Region,Serangoon
N.A.,"3,300,000","1,642.59","2,009",11 Oct 2021,11 BUNGA RAMPAI PLACE,Resale,Land,152.6,"21,625",-,Terrace House,1,Freehold,1973,Private,539707,19,53,Central Region,Toa Payoh
THE HILLIER,"838,000",624.31,"1,342",11 Oct 2021,6 HILLVIEW RISE #09-31,Resale,Strata,58,"14,448",-,Apartment,1,99 yrs from 01/08/2011,2016,Private,667980,23,66,West Region,Bukit Batok
THE VILLAS @ SENTOSA COVE,"7,000,000","2,569.37","2,724",11 Oct 2021,100 OCEAN DRIVE,Resale,Land,238.7,"29,326",-,Terrace House,1,99 yrs from 03/01/2005,2007,Private,098576,04,09,Central Region,Southern Islands
COCO PALMS,"1,620,000","1,259.39","1,286",11 Oct 2021,33 PASIR RIS GROVE #06-66,Resale,Strata,117,"13,846",-,Condominium,1,99 yrs from 07/01/2008,2018,HDB,518076,18,51,East Region,Pasir Ris
WATERCOLOURS,"870,000",990.29,879,11 Oct 2021,23 PASIR RIS LINK #02-10,Resale,Strata,92,"9,457",-,Executive Condominium,1,99 yrs from 10/01/2012,2014,HDB,518169,18,51,East Region,Pasir Ris
MAYSPRINGS,"808,888",807.3,"1,002",11 Oct 2021,2 PETIR ROAD #17-04,Resale,Strata,75,"10,785",-,Apartment,1,99 yrs from 01/12/1994,1998,Private,678265,23,67,West Region,Bukit Panjang
MAYSPRINGS,"1,160,000","1,302.44",891,11 Oct 2021,6 PETIR ROAD #09-12,Resale,Strata,121,"9,587",-,Apartment,1,99 yrs from 01/12/1994,1998,HDB,678267,23,67,West Region,Bukit Panjang
N.A.,"3,760,000","3,428.33","1,097",11 Oct 2021,25A POH HUAT ROAD,Resale,Land,318.5,"11,805",-,Semi-Detached House,1,999 yrs from 14/07/1884,1986,Private,546726,19,54,North East Region,Hougang
TWIN WATERFALLS,"1,308,000","1,237.86","1,057",11 Oct 2021,122 PUNGGOL WALK #06-45,Resale,Strata,115,"11,374",-,Executive Condominium,1,99 yrs from 05/10/2011,2015,Private,828771,19,82,North East Region,Punggol
TANGLIN PARK,"2,150,000","1,033.34","2,081",11 Oct 2021,1C RIDLEY PARK #03-04,Resale,Strata,96,"22,396",-,Condominium,1,Freehold,1988,Private,248469,10,24,Central Region,Tanglin
RV RESIDENCES,"2,100,000","1,001.05","2,098",11 Oct 2021,467 RIVER VALLEY ROAD #01-23,Resale,Strata,93,"22,581",-,Condominium,1,999 yrs from 21/06/1877,2015,Private,248352,10,24,Central Region,Tanglin
MACPHERSON GARDEN ESTATE,"2,608,000","1,354.11","1,926",11 Oct 2021,40 JALAN SETIA,Resale,Land,125.8,"20,731",-,Terrace House,1,Freehold,-,Private,368458,13,36,Central Region,Toa Payoh
CANARY PARK,"4,400,888","2,556.45","1,721",11 Oct 2021,16 JALAN SIMPANG BEDOK,Resale,Land,237.5,"18,530",-,Terrace House,1,Freehold,1992,HDB,488162,16,48,East Region,Bedok
SUNSHINE MANSIONS,"1,080,000",818.06,"1,320",11 Oct 2021,289 JOO CHIAT PLACE #02-04,Resale,Strata,76,"14,211",-,Apartment,1,Freehold,2006,Private,427970,15,42,East Region,Bedok
D'LEEDON,"1,180,000",635.08,"1,858",11 Oct 2021,11 LEEDON HEIGHTS #21-39,Resale,Strata,59,"20,000",-,Condominium,1,99 yrs from 08/04/2010,2014,Private,267955,10,26,Central Region,Bukit Timah
WING FONG MANSIONS,"1,050,000","1,237.86",848,11 Oct 2021,12 LORONG 14 GEYLANG #05-09,Resale,Strata,115,"9,130",-,Apartment,1,Freehold,1997,HDB,398924,14,39,Central Region,Geylang
SERANGOON GARDEN ESTATE,"5,380,000","3,512.29","1,532",11 Oct 2021,31 CARISBROOKE GROVE,Resale,Land,326.3,"16,488",-,Semi-Detached House,1,999 yrs from 01/01/1956,2009,Private,558807,19,55,North East Region,Serangoon
TREE HOUSE,"1,428,000","1,151.75","1,240",11 Oct 2021,62 CHESTNUT AVENUE #08-08,Resale,Strata,107,"13,346",-,Condominium,1,99 yrs from 23/11/2009,2013,Private,679518,23,67,West Region,Bukit Panjang
BANYAN PARK,"5,100,000","3,899.8","1,308",11 Oct 2021,74 CHWEE CHIAN ROAD,Resale,Land,362.3,"14,077",-,Semi-Detached House,1,Freehold,1997,Private,117650,05,11,Central Region,Queenstown
COTSWOLD VILLAS,"3,500,000","4,391.71",797,11 Oct 2021,35D COTSWOLD CLOSE,Resale,Strata,408,"8,578",-,Detached House,1,Freehold,2010,Private,357723,13,35,North East Region,Serangoon
WATERBANK AT DAKOTA,"2,220,000","1,280.92","1,733",11 Oct 2021,84 DAKOTA CRESCENT #17-29,Resale,Strata,119,"18,655",-,Condominium,1,99 yrs from 07/12/2009,2013,Private,399948,14,39,Central Region,Geylang
VOGX,"738,000",538.2,"1,371",11 Oct 2021,111 DORSET ROAD #04-07,Resale,Strata,50,"14,760",-,Apartment,1,Freehold,2009,Private,219499,08,21,Central Region,Kallang
EDEN CREST,"1,270,000",968.76,"1,311",11 Oct 2021,14 EDEN GROVE #04-02,Resale,Strata,90,"14,111",-,Apartment,1,Freehold,2005,Private,539068,19,53,North East Region,Serangoon
PALM ISLES,"760,000",785.77,967,11 Oct 2021,34 FLORA DRIVE #02-31,Resale,Strata,73,"10,411",-,Condominium,1,99 yrs from 14/09/2011,2015,HDB,506893,17,50,East Region,Pasir Ris
CARISSA PARK CONDOMINIUM,"895,000","1,001.05",894,11 Oct 2021,4 FLORA DRIVE #02-54,Resale,Strata,93,"9,624",-,Condominium,1,Freehold,2001,HDB,507026,17,50,East Region,Pasir Ris
DUO RESIDENCES,"2,400,000","1,184.04","2,027",11 Oct 2021,1 FRASER STREET #14-11,Resale,Strata,110,"21,818",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,189350,07,18,Central Region,Downtown Core
J GATEWAY,"1,245,000",688.9,"1,807",11 Oct 2021,2 GATEWAY DRIVE #09-14,Resale,Strata,64,"19,453",-,Condominium,1,99 yrs from 28/08/2012,2016,Private,608533,22,60,West Region,Jurong East
PARC ROSEWOOD,"995,000","1,270.15",783,11 Oct 2021,97 ROSEWOOD DRIVE #05-130,Resale,Strata,118,"8,432",-,Condominium,1,99 yrs from 07/09/2011,2014,HDB,737796,25,73,North Region,Woodlands
SARACA VILLAS,"2,320,000","2,987.01",777,11 Oct 2021,101 SARACA TERRACE,Resale,Land,277.5,"8,360",-,Terrace House,1,99 yrs from 05/05/1997,2002,Private,805519,28,80,North East Region,Serangoon
BLOSSOM RESIDENCES,"1,085,000","1,087.16",998,11 Oct 2021,30 SEGAR ROAD #14-08,Resale,Strata,101,"10,743",-,Executive Condominium,1,99 yrs from 02/03/2011,2014,Private,677721,23,67,West Region,Bukit Panjang
THE GREENWICH,"1,590,000","1,227.1","1,296",11 Oct 2021,11 SELETAR ROAD #04-54,Resale,Strata,114,"13,947",-,Condominium,1,99 yrs from 21/12/2009,2014,Private,807016,28,80,North East Region,Serangoon
AMARANDA GARDENS,"1,918,000","1,259.39","1,523",11 Oct 2021,122 SERANGOON AVENUE 3 #02-01,Resale,Strata,117,"16,393",-,Condominium,1,Freehold,2004,Private,554775,19,55,North East Region,Serangoon
SOPHIA RESIDENCE,"2,770,000","2,572.6","1,077",11 Oct 2021,15 SOPHIA ROAD #14-30,Resale,Strata,239,"11,590",-,Condominium,1,Freehold,2014,Private,228196,09,22,Central Region,Rochor
CLEMENTI PARK,"1,600,100","1,162.51","1,376",11 Oct 2021,129 SUNSET WAY #02-06,Resale,Strata,108,"14,816",-,Condominium,1,Freehold,1983,HDB,597157,21,59,West Region,Clementi
SERANGOON GARDEN ESTATE,"7,200,000","4,769.53","1,510",11 Oct 2021,26 WALMER DRIVE,Resale,Land,443.1,"16,249",-,Detached House,1,999 yrs from 01/01/1953,-,Private,555051,19,55,North East Region,Serangoon
TWIN VEW,"868,699",484.38,"1,793",11 Oct 2021,93 WEST COAST VALE #31-14,Sub Sale,Strata,45,"19,304",-,Apartment,1,99 yrs from 15/05/2017,2021,HDB,126756,05,12,West Region,Clementi
THE FLORAVALE,"1,005,000","1,323.97",759,11 Oct 2021,246 WESTWOOD AVENUE #04-60,Resale,Strata,123,"8,171",-,Executive Condominium,1,99 yrs from 16/12/1997,2000,Private,648367,22,64,West Region,Jurong West
EIGHT RIVERSUITES,"768,000",441.32,"1,740",11 Oct 2021,6 WHAMPOA EAST #23-13,Resale,Strata,41,"18,732",-,Condominium,1,99 yrs from 11/07/2011,2016,HDB,338519,12,33,Central Region,Kallang
CITYLIFE@TAMPINES,"1,345,000","1,130.22","1,190",11 Oct 2021,57 TAMPINES CENTRAL 7 #13-12,Resale,Strata,105,"12,810",-,Executive Condominium,1,99 yrs from 13/08/2012,2016,HDB,528593,18,52,East Region,Tampines
THE SANTORINI,"615,000",527.44,"1,166",11 Oct 2021,21 TAMPINES STREET 86 #02-05,Resale,Strata,49,"12,551",-,Condominium,1,99 yrs from 16/10/2013,2017,HDB,528592,18,52,East Region,Tampines
N.A.,"2,650,000","1,413.31","1,875",11 Oct 2021,20F TEMBELING ROAD,Resale,Land,131.3,"20,183",-,Terrace House,1,Freehold,1975,Private,423562,15,42,Central Region,Geylang
THE JOVELL,"1,195,300",904.18,"1,322",11 Oct 2021,13 FLORA DRIVE #02-10,New Sale,Strata,84,"14,230",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506853,17,50,East Region,Pasir Ris
THE JOVELL,"963,800",678.13,"1,421",11 Oct 2021,13 FLORA DRIVE #07-14,New Sale,Strata,63,"15,298",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506853,17,50,East Region,Pasir Ris
THE JOVELL,"950,700",667.37,"1,425",11 Oct 2021,23 FLORA DRIVE #08-42,New Sale,Strata,62,"15,334",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506762,17,50,East Region,Pasir Ris
COASTLINE RESIDENCES,"2,846,000","1,108.69","2,567",11 Oct 2021,7 AMBER ROAD #16-01,New Sale,Strata,103,"27,631",-,Apartment,1,Freehold,Uncompleted,N.A,439953,15,43,Central Region,Marine Parade
THE FLORENCE RESIDENCES,"1,143,000",635.08,"1,800",11 Oct 2021,97 HOUGANG AVENUE 2 #13-73,New Sale,Strata,59,"19,373",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,533753,19,53,North East Region,Hougang
MIDTOWN BAY,"1,355,600",409.03,"3,261",11 Oct 2021,122 BEACH ROAD #12-02,New Sale,Strata,38,"35,105","1,334,000",Apartment,1,99 yrs from 02/01/2018,Uncompleted,N.A,189770,07,18,Central Region,Downtown Core
TREASURE AT TAMPINES,"1,922,000","1,334.74","1,440",11 Oct 2021,31 TAMPINES LANE #09-105,New Sale,Strata,124,"15,500",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528470,18,52,East Region,Tampines
NORMANTON PARK,"2,075,000","1,237.86","1,676",11 Oct 2021,57 NORMANTON PARK #24-55,New Sale,Strata,115,"18,043",-,Apartment,1,99 yrs from 22/07/2019,Uncompleted,N.A,117284,05,11,Central Region,Queenstown
WILSHIRE RESIDENCES,"1,788,000",796.54,"2,245",11 Oct 2021,30 FARRER ROAD #12-07,New Sale,Strata,74,"24,162",-,Apartment,1,Freehold,Uncompleted,N.A,268832,10,26,Central Region,Tanglin
SENGKANG GRAND RESIDENCES,"1,794,160","1,054.87","1,701",11 Oct 2021,86 COMPASSVALE BOW #07-64,New Sale,Strata,98,"18,308",-,Apartment,1,99 yrs from 13/11/2018,Uncompleted,N.A,544573,19,54,North East Region,Sengkang
MEYER MANSION,"1,874,800",688.9,"2,721",11 Oct 2021,79 MEYER ROAD #06-05,New Sale,Strata,64,"29,294",-,Apartment,1,Freehold,Uncompleted,N.A,437906,15,43,Central Region,Marine Parade
MIDWOOD,"1,449,000",893.41,"1,622",11 Oct 2021,10 HILLVIEW RISE #05-13,New Sale,Strata,83,"17,458",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667972,23,66,West Region,Bukit Batok
MIDWOOD,"1,270,000",688.9,"1,844",11 Oct 2021,10 HILLVIEW RISE #28-15,New Sale,Strata,64,"19,844",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667972,23,66,West Region,Bukit Batok
MIDWOOD,"2,054,000","1,248.62","1,645",11 Oct 2021,10 HILLVIEW RISE #13-17,New Sale,Strata,116,"17,707",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667972,23,66,West Region,Bukit Batok
MIDWOOD,"1,250,000",699.66,"1,787",11 Oct 2021,8 HILLVIEW RISE #20-04,New Sale,Strata,65,"19,231",-,Condominium,1,99 yrs from 01/10/2018,Uncompleted,N.A,667971,23,66,West Region,Bukit Batok
DAIRY FARM RESIDENCES,"1,095,700",710.42,"1,542",11 Oct 2021,6 DAIRY FARM LANE #02-07,New Sale,Strata,66,"16,602",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677623,23,67,West Region,Bukit Panjang
DAIRY FARM RESIDENCES,"1,534,700",936.47,"1,639",11 Oct 2021,8 DAIRY FARM LANE #08-18,New Sale,Strata,87,"17,640",-,Apartment,1,99 yrs from 05/12/2018,Uncompleted,N.A,677624,23,67,West Region,Bukit Panjang
MIDTOWN MODERN,"2,827,440","1,065.64","2,653",11 Oct 2021,18 TAN QUEE LAN STREET #22-16,New Sale,Strata,99,"28,560",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,188105,07,18,Central Region,Downtown Core
CLAVON,"2,638,000","1,689.95","1,561",11 Oct 2021,8 CLEMENTI AVENUE 1 #08-18,New Sale,Strata,157,"16,803",-,Apartment,1,99 yrs from 07/10/2019,Uncompleted,N.A,129964,05,12,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,417,875",753.48,"1,882",11 Oct 2021,18 BROOKVALE DRIVE #02-40,New Sale,Strata,70,"20,255",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599981,21,59,West Region,Clementi
KI RESIDENCES AT BROOKVALE,"1,425,000",753.48,"1,891",11 Oct 2021,20 BROOKVALE DRIVE #02-49,New Sale,Strata,70,"20,357",-,Condominium,1,999 yrs from 23/03/1885,Uncompleted,N.A,599982,21,59,West Region,Clementi
IRWELL HILL RESIDENCES,"1,418,000",495.14,"2,864",11 Oct 2021,2 IRWELL HILL #29-04,New Sale,Strata,46,"30,826",-,Apartment,1,99 yrs from 13/04/2020,Uncompleted,N.A,239588,09,23,Central Region,River Valley
ONE BERNAM,"1,637,000",699.66,"2,340",11 Oct 2021,1 BERNAM STREET #10-02,New Sale,Strata,65,"25,185",-,Apartment,1,99 yrs from 10/12/2019,Uncompleted,N.A,078852,02,07,Central Region,Downtown Core
PARC GREENWICH,"1,128,000",979.52,"1,152",11 Oct 2021,31 FERNVALE LANE #04-01,New Sale,Strata,91,"12,396",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,196,000",979.52,"1,221",11 Oct 2021,31 FERNVALE LANE #09-01,New Sale,Strata,91,"13,143",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,183,000",979.52,"1,208",11 Oct 2021,31 FERNVALE LANE #07-01,New Sale,Strata,91,"13,000",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,142,000",958,"1,192",11 Oct 2021,31 FERNVALE LANE #04-02,New Sale,Strata,89,"12,831",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,243,000","1,001.05","1,242",11 Oct 2021,31 FERNVALE LANE #06-03,New Sale,Strata,93,"13,366",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,346,000","1,065.64","1,263",11 Oct 2021,31 FERNVALE LANE #03-04,New Sale,Strata,99,"13,596",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797503,28,79,North East Region,Sengkang
PARC GREENWICH,"1,508,000","1,205.57","1,251",11 Oct 2021,33 FERNVALE LANE #04-06,New Sale,Strata,112,"13,464",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797504,28,79,North East Region,Sengkang
PARC GREENWICH,"1,501,000","1,205.57","1,245",11 Oct 2021,33 FERNVALE LANE #03-06,New Sale,Strata,112,"13,402",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797504,28,79,North East Region,Sengkang
PARC GREENWICH,"1,385,000","1,205.57","1,149",11 Oct 2021,33 FERNVALE LANE #02-07,New Sale,Strata,112,"12,366",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797504,28,79,North East Region,Sengkang
PARC GREENWICH,"1,488,000","1,205.57","1,234",11 Oct 2021,35 FERNVALE LANE #04-09,New Sale,Strata,112,"13,286",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797352,28,79,North East Region,Sengkang
PARC GREENWICH,"1,481,000","1,205.57","1,228",11 Oct 2021,35 FERNVALE LANE #03-09,New Sale,Strata,112,"13,223",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797352,28,79,North East Region,Sengkang
PARC GREENWICH,"1,486,000","1,205.57","1,233",11 Oct 2021,35 FERNVALE LANE #04-10,New Sale,Strata,112,"13,268",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797352,28,79,North East Region,Sengkang
PARC GREENWICH,"1,268,000","1,065.64","1,190",11 Oct 2021,35 FERNVALE LANE #02-12,New Sale,Strata,99,"12,808",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797352,28,79,North East Region,Sengkang
PARC GREENWICH,"1,279,000","1,001.05","1,278",11 Oct 2021,37 FERNVALE LANE #06-13,New Sale,Strata,93,"13,753",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
PARC GREENWICH,"1,259,000","1,001.05","1,258",11 Oct 2021,37 FERNVALE LANE #09-13,New Sale,Strata,93,"13,538",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
PARC GREENWICH,"1,292,000","1,001.05","1,291",11 Oct 2021,37 FERNVALE LANE #08-13,New Sale,Strata,93,"13,892",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
PARC GREENWICH,"1,280,000","1,001.05","1,279",11 Oct 2021,37 FERNVALE LANE #13-13,New Sale,Strata,93,"13,763",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
PARC GREENWICH,"1,318,000","1,001.05","1,317",11 Oct 2021,37 FERNVALE LANE #09-14,New Sale,Strata,93,"14,172",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
PARC GREENWICH,"1,313,000","1,001.05","1,312",11 Oct 2021,37 FERNVALE LANE #08-14,New Sale,Strata,93,"14,118",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797353,28,79,North East Region,Sengkang
PARC GREENWICH,"1,559,000","1,205.57","1,293",11 Oct 2021,39 FERNVALE LANE #04-17,New Sale,Strata,112,"13,920",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,551,000","1,205.57","1,287",11 Oct 2021,39 FERNVALE LANE #03-17,New Sale,Strata,112,"13,848",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,498,000","1,205.57","1,243",11 Oct 2021,39 FERNVALE LANE #02-18,New Sale,Strata,112,"13,375",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,551,000","1,205.57","1,287",11 Oct 2021,39 FERNVALE LANE #03-18,New Sale,Strata,112,"13,848",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,476,000","1,205.57","1,224",11 Oct 2021,39 FERNVALE LANE #02-19,New Sale,Strata,112,"13,179",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,529,000","1,205.57","1,268",11 Oct 2021,39 FERNVALE LANE #03-19,New Sale,Strata,112,"13,652",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,355,000","1,065.64","1,272",11 Oct 2021,39 FERNVALE LANE #02-20,New Sale,Strata,99,"13,687",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797354,28,79,North East Region,Sengkang
PARC GREENWICH,"1,308,000","1,001.05","1,307",11 Oct 2021,41 FERNVALE LANE #11-21,New Sale,Strata,93,"14,065",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
PARC GREENWICH,"1,284,000","1,001.05","1,283",11 Oct 2021,41 FERNVALE LANE #07-21,New Sale,Strata,93,"13,806",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
PARC GREENWICH,"1,273,000","1,001.05","1,272",11 Oct 2021,41 FERNVALE LANE #05-21,New Sale,Strata,93,"13,688",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
PARC GREENWICH,"1,427,000","1,216.33","1,173",11 Oct 2021,41 FERNVALE LANE #14-22,New Sale,Strata,113,"12,628",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
PARC GREENWICH,"1,269,000","1,001.05","1,268",11 Oct 2021,41 FERNVALE LANE #05-22,New Sale,Strata,93,"13,645",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
PARC GREENWICH,"1,309,000","1,001.05","1,308",11 Oct 2021,41 FERNVALE LANE #12-22,New Sale,Strata,93,"14,075",-,Executive Condominium,1,99 yrs from 08/06/2020,Uncompleted,N.A,797355,28,79,North East Region,Sengkang
